月份,制造业-指数,制造业-同比增长,非制造业-指数,非制造业-同比增长
,50.5,0.1984127,53.4,-4.98220641
,51.0,0.79051383,54.6,-2.67379679
,51.4,1.58102767,56.0,0.71942446
,51.4,2.39043825,56.3,1.44144144
,51.1,2.61044177,55.4,3.16573557
,51.0,3.65853659,53.9,-4.26287744
,50.3,0.3992016,54.1,-2.69784173
,50.1,-0.19920319,53.9,-4.9382716
,50.8,0.79365079,54.3,-1.63043478
,50.6,-5.06566604,54.5,-2.85204991
,50.9,-4.14312618,55.6,-4.13793103
,50.1,-1.76470588,54.5,-4.88656195
,50.4,-0.1980198,56.2,0.89766607
,50.6,0.59642147,56.1,-0.35523979
,50.6,3.26530612,55.6,-0.53667263
,50.2,-0.3968254,55.5,0.0
,49.8,-2.734375,53.7,-3.76344086
,49.2,-3.33988212,56.3,-1.40105079
,50.1,-1.18343195,55.6,-2.96684119
,50.2,-1.37524558,56.7,0.17667845
,50.4,-3.07692308,55.2,-5.96252129
,53.3,0.75614367,56.1,-3.60824742
,53.1,-0.56179775,58.0,-2.02702703
,51.0,-2.29885057,57.3,0.52631579
,50.5,-4.536862,55.7,-2.62237762
,50.3,-6.67903525,56.3,-4.25170068
,49.0,-11.23188406,55.9,-5.09337861
,50.4,-7.86106033,55.5,-3.31010453
,51.2,-4.83271375,55.8,-3.62694301
,50.9,-1.54738878,57.1,-1.55172414
,50.7,-0.9765625,57.3,0.3502627
,50.9,-2.30326296,56.6,-3.7414966
,52.0,-3.52504638,58.7,1.03270224
,52.9,-5.02692998,58.2,0.69204152
,53.4,-3.08529946,59.2,3.31588133
,52.2,0.38461538,57.0,0.0
,52.9,-5.19713262,57.2,-1.54905336
,53.9,-4.77031802,58.8,0.0
,55.2,0.0,58.9,0.85616438
,54.7,-0.9057971,57.4,-3.52941176
,53.8,-0.92081031,57.9,0.0
,51.7,-4.25925926,58.0,1.22164049
,51.2,-3.93996248,57.1,-0.34904014
,52.1,-2.06766917,58.8,6.13718412
,53.9,1.50659134,58.1,5.8287796
,55.7,4.11214953,57.8,8.03738318
,55.1,5.15267176,57.3,5.33088235
,52.0,6.12244898,57.0,3.44827586
,55.8,23.17880795,58.1,8.19366853
,56.6,37.37864078,58.8,15.7480315
,55.2,42.26804124,58.4,14.0625
,55.2,23.76681614,59.5,12.0527307
,54.3,6.0546875,57.9,5.27272727
,54.0,11.57024793,57.3,8.31758034
,53.3,10.12396694,57.3,2.87253142
